strategy,precision,recall,f1,roc_auc
unweighted,0.6744751209247417,0.5344481605351171,0.5958632223384968,0.8471877442036282
class_weight_balanced,0.5202657328094668,0.7926421404682275,0.6280348043817795,0.8470301869214513
