mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__solver,param_model__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.10918984413146973,0.00471287738586473,0.030707693099975585,0.00598735779135548,liblinear,0.01,"{'model__solver': 'liblinear', 'model__C': 0.01}",0.6576454668470907,0.5934959349593496,0.6162018592297477,0.6431372549019608,0.6438356164383562,0.6308632264753009,0.02301083761731166,1
0.10728750228881836,0.00365494415980248,0.025382089614868163,0.003558359691926002,lbfgs,0.01,"{'model__solver': 'lbfgs', 'model__C': 0.01}",0.654843110504775,0.595108695652174,0.6143617021276596,0.6404199475065617,0.6437414030261348,0.6296949717634611,0.02179943059361812,4
0.11901588439941406,0.012976607379019154,0.02429957389831543,0.0026593556486480176,liblinear,0.5,"{'model__solver': 'liblinear', 'model__C': 0.5}",0.6403162055335968,0.5940860215053764,0.6131578947368421,0.6443298969072165,0.6458616010854816,0.6275503239537027,0.020527183091337126,9
0.13999271392822266,0.02629060581238211,0.025544261932373045,0.005363467398441857,lbfgs,0.1,"{'model__solver': 'lbfgs', 'model__C': 0.1}",0.6445623342175066,0.5929919137466307,0.6153846153846154,0.6478149100257069,0.644808743169399,0.6291125033087719,0.021577771595099205,6
0.12009539604187011,0.008660308936919934,0.0268002986907959,0.004944025493351288,lbfgs,0.05,"{'model__solver': 'lbfgs', 'model__C': 0.05}",0.6453333333333333,0.5943012211668928,0.6190476190476191,0.648578811369509,0.6456908344733242,0.6305903638781357,0.021067037953363597,2
0.1432487964630127,0.01549560343949086,0.027568674087524413,0.005501577145656112,lbfgs,2.0,"{'model__solver': 'lbfgs', 'model__C': 2}",0.6411609498680739,0.594885598923284,0.6131578947368421,0.6444159178433889,0.6476190476190476,0.6282478817981273,0.020708183937430947,7
0.1518238067626953,0.012461200483538827,0.025690698623657228,0.004530319880636773,liblinear,10.0,"{'model__solver': 'liblinear', 'model__C': 10}",0.6393659180977543,0.5906040268456376,0.614569536423841,0.6427656850192062,0.6494565217391305,0.627352337625114,0.021837264941865577,10
0.1343374729156494,0.015331059402481438,0.026601314544677734,0.004551068720753231,lbfgs,5.0,"{'model__solver': 'lbfgs', 'model__C': 5}",0.6393659180977543,0.5970548862115127,0.6164021164021164,0.6427656850192062,0.6512890094979648,0.6293755230457109,0.019860705751677796,5
0.12970032691955566,0.01922072731622294,0.022040557861328126,0.003049284925505427,lbfgs,1.0,"{'model__solver': 'lbfgs', 'model__C': 1}",0.6411609498680739,0.5929919137466307,0.6131578947368421,0.6452442159383034,0.6476190476190476,0.6280348043817795,0.021453805020444725,8
0.0946662425994873,0.007133772075729725,0.017206668853759766,0.0038875554731127152,liblinear,0.05,"{'model__solver': 'liblinear', 'model__C': 0.05}",0.644474034620506,0.5943012211668928,0.6190476190476191,0.6477419354838709,0.6438356164383562,0.629880085351449,0.02054255970528139,3
