experiment_id,model,parameters,cv_f1,cv_roc_auc,precision,recall,f1,roc_auc,pr_auc,accuracy,training_time_seconds
baseline-logistic_regression,logistic_regression,"LogisticRegression(class_weight='balanced', max_iter=2000, random_state=42)",0.6280348043817795,0.8470301869214513,0.5059021922428331,0.8021390374331551,0.6204756980351603,0.8448422847399829,0.6503688758382112,0.7395315826827538,3.7360400001052767
baseline-random_forest,random_forest,"RandomForestClassifier(class_weight='balanced', n_estimators=400, n_jobs=-1,
                       random_state=42)",0.5342163075983091,0.8280373575834771,0.6206896551724138,0.48128342245989303,0.5421686746987951,0.8247061406907953,0.6203645492919971,0.7842441447835344,9.198742599925026
baseline-hist_gradient_boosting,hist_gradient_boosting,"HistGradientBoostingClassifier(max_iter=250, random_state=42)",0.5632934738636014,0.8234859494711306,0.5943396226415094,0.5053475935828877,0.546242774566474,0.818451781239505,0.6096032631002175,0.7771469127040455,18.903516999911517
